idService,app,time,action
109,1,2700,nop
105,2,2700,nop
103,3,2700,nop
101,3,2700,nop
99,1,2700,nop
97,1,2700,nop
95,3,2700,nop
93,3,2700,nop
91,2,2700,nop
89,1,2700,nop
87,1,2700,nop
85,2,2700,nop
83,3,2700,nop
81,5,2700,nop
79,3,2700,nop
77,2,2700,nop
75,1,2700,nop
73,1,2700,nop
71,2,2700,nop
69,3,2700,nop
67,4,2700,nop
65,5,2700,nop
7,6,2700,nop
6,5,2700,nop
5,4,2700,nop
3,2,2700,nop
2,1,2700,nop
120,1,2900,nop
117,3,2900,nop
115,4,2900,nop
113,6,2900,nop
111,3,2900,nop
109,1,2900,nop
105,2,2900,nop
103,3,2900,nop
101,3,2900,nop
99,1,2900,nop
97,1,2900,nop
95,3,2900,nop
93,3,2900,nop
91,2,2900,nop
89,1,2900,nop
87,1,2900,nop
85,2,2900,nop
83,3,2900,nop
81,5,2900,nop
79,3,2900,nop
77,2,2900,nop
75,1,2900,nop
73,1,2900,nop
71,2,2900,nop
69,3,2900,nop
67,4,2900,nop
65,5,2900,nop
7,6,2900,nop
6,5,2900,nop
5,4,2900,nop
3,2,2900,nop
2,1,2900,nop
120,1,3100,nop
117,3,3100,nop
115,4,3100,nop
113,6,3100,nop
111,3,3100,nop
109,1,3100,nop
105,2,3100,nop
103,3,3100,nop
101,3,3100,nop
99,1,3100,nop
97,1,3100,nop
95,3,3100,nop
93,3,3100,nop
91,2,3100,nop
89,1,3100,nop
87,1,3100,nop
85,2,3100,nop
83,3,3100,nop
81,5,3100,nop
79,3,3100,nop
77,2,3100,nop
75,1,3100,nop
73,1,3100,nop
71,2,3100,nop
69,3,3100,nop
67,4,3100,nop
65,5,3100,nop
7,6,3100,nop
6,5,3100,nop
5,4,3100,nop
3,2,3100,nop
2,1,3100,nop
120,1,3300,nop
117,3,3300,nop
115,4,3300,nop
113,6,3300,nop
111,3,3300,nop
109,1,3300,nop
105,2,3300,nop
103,3,3300,nop
101,3,3300,nop
99,1,3300,nop
97,1,3300,nop
95,3,3300,nop
93,3,3300,nop
91,2,3300,nop
89,1,3300,nop
87,1,3300,nop
85,2,3300,nop
