time,app,des,tr,ltr,suc
1900,2,91,5,5,1.000000
1900,2,71,5,5,1.000000
1900,4,5,10,40,0.250000
1900,1,89,5,5,1.000000
1900,6,7,11,40,0.275000
1900,3,83,5,5,1.000000
1900,2,105,5,5,1.000000
1900,2,85,5,5,1.000000
1900,1,97,5,5,1.000000
1900,4,115,20,40,0.500000
1900,1,99,5,5,1.000000
1900,3,79,5,5,1.000000
1900,3,69,5,5,1.000000
1900,3,117,5,5,1.000000
1900,5,65,10,40,0.250000
1900,3,93,5,5,1.000000
1900,3,95,20,5,4.000000
1900,4,67,15,40,0.375000
2100,3,111,5,5,1.000000
2100,2,71,5,5,1.000000
2100,3,69,5,5,1.000000
2100,3,93,5,5,1.000000
2100,2,77,5,5,1.000000
2100,1,75,5,5,1.000000
2100,1,87,5,5,1.000000
2100,5,65,18,40,0.450000
2100,1,99,5,5,1.000000
2100,4,5,10,40,0.250000
2100,2,85,5,5,1.000000
2100,5,6,35,40,0.875000
2100,1,97,5,5,1.000000
2100,6,7,13,40,0.325000
2100,1,73,5,5,1.000000
2100,4,115,20,40,0.500000
2100,1,2,5,5,1.000000
2100,2,91,5,5,1.000000
2100,3,95,20,5,4.000000
2100,3,103,5,5,1.000000
2100,3,79,5,5,1.000000
2100,5,81,40,40,1.000000
2100,1,89,8,5,1.600000
2100,3,83,5,5,1.000000
2100,6,113,25,40,0.625000
2100,1,109,5,5,1.000000
2100,3,101,5,5,1.000000
2100,4,67,15,40,0.375000
2100,2,105,5,5,1.000000
2100,1,107,2,5,0.400000
2100,2,3,5,5,1.000000
2100,3,117,5,5,1.000000
2300,6,113,25,40,0.625000
2300,4,115,20,40,0.500000
2300,2,105,5,5,1.000000
2300,6,7,16,40,0.400000
2300,3,111,5,5,1.000000
2300,5,81,40,40,1.000000
2300,1,109,5,5,1.000000
2300,3,93,5,5,1.000000
2300,3,117,5,5,1.000000
2300,2,3,5,5,1.000000
2300,1,87,5,5,1.000000
2300,1,120,5,5,1.000000
2300,2,77,5,5,1.000000
2300,4,67,15,40,0.375000
2300,3,95,20,5,4.000000
2300,3,103,5,5,1.000000
2300,3,83,5,5,1.000000
2300,3,101,5,5,1.000000
2300,2,71,5,5,1.000000
2300,1,107,0,5,0.000000
2300,1,75,5,5,1.000000
2300,1,99,5,5,1.000000
2300,2,85,5,5,1.000000
2300,1,2,5,5,1.000000
2300,1,97,5,5,1.000000
2300,1,89,5,5,1.000000
2300,5,6,35,40,0.875000
2300,3,79,5,5,1.000000
2300,3,69,5,5,1.000000
2300,5,65,20,40,0.500000
2300,1,73,5,5,1.000000
2300,2,91,5,5,1.000000
2300,4,5,10,40,0.250000
2500,2,105,5,5,1.000000
2500,6,113,25,40,0.625000
2500,3,83,5,5,1.000000
2500,2,91,5,5,1.000000
2500,1,99,5,5,1.000000
2500,3,93,5,5,1.000000
2500,4,115,20,40,0.500000
2500,1,120,5,5,1.000000
2500,4,67,15,40,0.375000
2500,5,6,35,40,0.875000
2500,1,75,5,5,1.000000
2500,3,101,5,5,1.000000
2500,2,71,5,5,1.000000
2500,1,109,5,5,1.000000
2500,6,7,16,40,0.400000
2500,1,2,5,5,1.000000
2500,5,81,40,40,1.000000
2500,1,73,5,5,1.000000
2500,5,65,20,40,0.500000
2500,3,79,5,5,1.000000
2500,1,97,5,5,1.000000
2500,3,95,20,5,4.000000
2500,2,77,5,5,1.000000
2500,1,89,5,5,1.000000
2500,3,111,5,5,1.000000
2500,3,103,5,5,1.000000
2500,4,5,10,40,0.250000
2500,3,69,5,5,1.000000
2500,2,85,5,5,1.000000
2500,3,117,5,5,1.000000
2500,2,3,5,5,1.000000
2500,1,87,5,5,1.000000
2700,1,99,5,5,1.000000
2700,5,81,40,40,1.000000
2700,2,77,5,5,1.000000
2700,3,79,5,5,1.000000
2700,2,91,5,5,1.000000
2700,3,117,5,5,1.000000
2700,2,3,5,5,1.000000
2700,1,2,5,5,1.000000
2700,6,7,16,40,0.400000
2700,3,83,5,5,1.000000
2700,3,101,5,5,1.000000
2700,1,120,5,5,1.000000
2700,1,75,5,5,1.000000
2700,2,71,5,5,1.000000
2700,1,97,5,5,1.000000
2700,4,115,20,40,0.500000
2700,2,85,5,5,1.000000
2700,1,109,5,5,1.000000
2700,5,65,20,40,0.500000
2700,4,5,10,40,0.250000
2700,2,105,5,5,1.000000
2700,3,69,5,5,1.000000
2700,3,93,5,5,1.000000
2700,3,95,20,5,4.000000
2700,3,111,5,5,1.000000
2700,6,113,25,40,0.625000
2700,1,73,5,5,1.000000
2700,4,67,15,40,0.375000
2700,1,87,5,5,1.000000
2700,1,89,5,5,1.000000
2700,5,6,35,40,0.875000
2700,3,103,5,5,1.000000
2900,3,103,5,5,1.000000
2900,1,73,5,5,1.000000
2900,6,7,16,40,0.400000
2900,1,120,5,5,1.000000
2900,3,111,5,5,1.000000
2900,2,91,5,5,1.000000
2900,3,117,5,5,1.000000
2900,1,2,5,5,1.000000
2900,4,5,10,40,0.250000
2900,2,71,5,5,1.000000
2900,3,93,5,5,1.000000
2900,6,113,25,40,0.625000
2900,1,89,5,5,1.000000
2900,2,85,5,5,1.000000
2900,3,83,5,5,1.000000
2900,1,87,5,5,1.000000
2900,1,75,5,5,1.000000
2900,4,115,20,40,0.500000
2900,3,79,5,5,1.000000
2900,3,95,20,5,4.000000
2900,1,99,5,5,1.000000
2900,2,105,5,5,1.000000
2900,1,97,5,5,1.000000
2900,3,69,5,5,1.000000
2900,2,3,5,5,1.000000
2900,4,67,15,40,0.375000
2900,2,77,5,5,1.000000
2900,5,6,35,40,0.875000
2900,5,65,20,40,0.500000
2900,5,81,40,40,1.000000
2900,1,109,5,5,1.000000
2900,3,101,5,5,1.000000
3100,4,115,20,40,0.500000
3100,3,101,5,5,1.000000
3100,6,113,25,40,0.625000
3100,1,73,5,5,1.000000
3100,2,105,5,5,1.000000
3100,1,109,5,5,1.000000
3100,2,71,5,5,1.000000
3100,5,65,20,40,0.500000
3100,2,91,5,5,1.000000
3100,5,6,35,40,0.875000
3100,1,120,5,5,1.000000
3100,1,89,5,5,1.000000
3100,6,7,16,40,0.400000
3100,4,5,10,40,0.250000
3100,3,79,5,5,1.000000
3100,1,75,5,5,1.000000
3100,3,95,20,5,4.000000
3100,2,85,5,5,1.000000
3100,2,77,5,5,1.000000
3100,3,93,5,5,1.000000
3100,4,67,15,40,0.375000
3100,3,111,5,5,1.000000
3100,1,99,5,5,1.000000
3100,2,3,5,5,1.000000
3100,3,117,5,5,1.000000
3100,1,97,5,5,1.000000
3100,3,83,5,5,1.000000
3100,3,69,5,5,1.000000
3100,3,103,5,5,1.000000
3100,1,87,5,5,1.000000
3100,5,81,40,40,1.000000
3100,1,2,5,5,1.000000
3300,1,97,5,5,1.000000
3300,3,95,20,5,4.000000
3300,3,93,5,5,1.000000
3300,6,113,25,40,0.625000
3300,1,2,5,5,1.000000
3300,4,115,20,40,0.500000
3300,5,65,20,40,0.500000
3300,6,7,16,40,0.400000
3300,3,117,5,5,1.000000
3300,1,87,5,5,1.000000
3300,4,67,15,40,0.375000
3300,3,101,5,5,1.000000
3300,1,75,5,5,1.000000
3300,2,77,5,5,1.000000
3300,2,3,5,5,1.000000
3300,3,83,5,5,1.000000
3300,1,120,5,5,1.000000
3300,3,103,5,5,1.000000
3300,2,105,5,5,1.000000
3300,5,6,35,40,0.875000
3300,2,71,5,5,1.000000
3300,2,85,5,5,1.000000
3300,1,89,5,5,1.000000
3300,3,111,5,5,1.000000
3300,1,109,5,5,1.000000
3300,1,73,5,5,1.000000
3300,4,5,10,40,0.250000
3300,5,81,40,40,1.000000
3300,3,69,5,5,1.000000
3300,1,99,5,5,1.000000
3300,2,91,5,5,1.000000
