time,undeploy,nop,migrate,replicate,none
300,0,1,0,5,0
500,0,4,0,7,0
700,0,11,0,7,0
900,0,17,1,7,0
1100,0,32,0,0,0
1300,0,32,0,0,0
1500,0,32,0,0,0
1700,0,32,0,0,0
1900,0,32,0,0,0
2100,0,31,0,1,0
2300,1,32,0,0,0
2500,0,32,0,0,0
2700,0,32,0,0,0
2900,0,32,0,0,0
3100,0,32,0,0,0
3300,0,32,0,0,0
3500,0,32,0,0,0
3700,0,32,0,0,0
3900,0,32,0,0,0
4100,0,32,0,0,0
4300,0,32,0,0,0
4500,0,32,0,0,0
4700,0,32,0,0,0
4900,0,32,0,0,0
5100,0,32,0,0,0
5300,0,32,0,0,0
5500,0,32,0,0,0
5700,0,32,0,0,0
5900,0,32,0,0,0
6100,0,31,0,1,0
6300,1,32,0,0,0
6500,0,32,0,0,0
6700,0,32,0,0,0
6900,0,32,0,0,0
7100,0,32,0,0,0
7300,0,32,0,0,0
7500,0,32,0,0,0
7700,0,32,0,0,0
7900,0,32,0,0,0
8100,0,30,1,1,0
8300,1,31,0,0,1
8500,0,31,0,0,1
8700,0,31,0,0,1
8900,0,31,0,0,1
9100,0,31,0,0,1
9300,0,31,0,0,1
9500,0,31,0,0,1
9700,0,31,0,0,1
9900,0,31,0,0,1
10100,0,30,1,0,1
10300,1,29,0,1,1
10500,0,31,0,0,1
10700,0,31,0,0,1
10900,0,31,0,0,1
11100,0,31,0,0,1
11300,0,31,0,0,1
11500,0,31,0,0,1
11700,0,31,0,0,1
11900,0,31,0,0,1
12100,0,31,0,0,1
12300,0,31,0,0,1
12500,0,31,0,0,1
12700,0,31,0,0,1
12900,0,31,0,0,1
13100,0,31,0,0,1
13300,0,31,0,0,1
13500,0,31,0,0,1
13700,0,31,0,0,1
13900,0,31,0,0,1
14100,0,30,0,1,1
14300,1,31,0,0,1
14500,0,31,0,0,1
14700,0,31,0,0,1
14900,0,31,0,0,1
15100,0,31,0,0,1
15300,0,31,0,0,1
15500,0,31,0,0,1
15700,0,31,0,0,1
15900,0,31,0,0,1
16100,0,28,2,0,2
16300,2,26,1,1,2
16500,0,28,0,0,3
16700,0,28,0,0,3
16900,0,28,0,0,3
17100,0,28,0,0,3
17300,0,28,0,0,3
17500,0,28,0,0,3
17700,0,28,0,0,3
17900,0,28,0,0,3
18100,0,28,0,0,3
18300,0,28,0,0,3
18500,0,28,0,0,3
18700,0,28,0,0,3
18900,0,28,0,0,3
19100,0,28,0,0,3
19300,0,28,0,0,3
19500,0,28,0,0,3
19700,0,28,0,0,3
19900,0,28,0,0,3
20100,0,27,0,1,3
20300,1,28,0,0,3
20500,0,28,0,0,3
20700,0,28,0,0,3
20900,0,28,0,0,3
21100,0,28,0,0,3
21300,0,28,0,0,3
21500,0,28,0,0,3
21700,0,28,0,0,3
21900,0,28,0,0,3
22100,0,28,0,0,3
22300,1,27,0,0,3
22500,0,27,0,0,3
22700,0,27,0,0,3
22900,0,27,0,0,3
23100,0,27,0,0,3
23300,0,27,0,0,3
23500,0,27,0,0,3
23700,0,27,0,0,3
23900,0,27,0,0,3
24100,0,26,1,0,3
24300,1,25,0,1,3
24500,0,27,0,0,3
24700,0,27,0,0,3
24900,0,27,0,0,3
25100,0,27,0,0,3
25300,0,27,0,0,3
25500,0,27,0,0,3
25700,0,27,0,0,3
25900,0,27,0,0,3
26100,0,26,0,2,2
26300,1,29,0,0,2
26500,0,29,0,0,2
26700,0,29,0,0,2
26900,0,29,0,0,2
27100,0,29,0,0,2
27300,0,29,0,0,2
27500,0,29,0,0,2
27700,0,29,0,0,2
27900,0,29,0,0,2
28100,0,29,0,0,2
28300,0,29,0,0,2
28500,0,29,0,0,2
28700,0,29,0,0,2
28900,0,29,0,0,2
29100,0,29,0,0,2
29300,0,29,0,0,2
29500,0,29,0,0,2
29700,0,29,0,0,2
29900,0,29,0,0,2
30100,0,28,0,1,2
30300,0,30,0,0,2
30500,0,30,0,0,2
30700,0,30,0,0,2
30900,0,30,0,0,2
31100,0,30,0,0,2
31300,0,30,0,0,2
31500,0,30,0,0,2
31700,0,30,0,0,2
31900,0,30,0,0,2
32100,0,30,0,0,2
32300,0,30,0,0,2
32500,0,30,0,0,2
32700,0,30,0,0,2
32900,0,30,0,0,2
33100,0,30,0,0,2
33300,0,30,0,0,2
33500,0,30,0,0,2
33700,0,30,0,0,2
33900,0,30,0,0,2
34100,0,30,0,0,2
34300,0,30,0,0,2
34500,0,30,0,0,2
34700,0,30,0,0,2
34900,0,30,0,0,2
35100,0,30,0,0,2
35300,0,30,0,0,2
35500,0,30,0,0,2
35700,0,30,0,0,2
35900,0,30,0,0,2
36100,0,28,0,3,1
36300,2,32,0,0,1
36500,0,32,0,0,1
36700,0,32,0,0,1
36900,0,32,0,0,1
37100,0,32,0,0,1
37300,0,32,0,0,1
37500,0,32,0,0,1
37700,0,32,0,0,1
37900,0,32,0,0,1
38100,0,31,0,1,1
38300,1,32,0,0,1
38500,0,32,0,0,1
38700,0,32,0,0,1
38900,0,32,0,0,1
39100,0,32,0,0,1
39300,0,32,0,0,1
39500,0,32,0,0,1
39700,0,32,0,0,1
39900,0,32,0,0,1
40100,0,32,0,0,1
40300,0,32,0,0,1
40500,0,32,0,0,1
40700,0,32,0,0,1
40900,0,32,0,0,1
41100,0,32,0,0,1
41300,0,32,0,0,1
41500,0,32,0,0,1
41700,0,32,0,0,1
41900,0,32,0,0,1
42100,0,32,0,0,1
42300,0,32,0,0,1
42500,0,32,0,0,1
42700,0,32,0,0,1
42900,0,32,0,0,1
43100,0,32,0,0,1
43300,0,32,0,0,1
43500,0,32,0,0,1
43700,0,32,0,0,1
43900,0,32,0,0,1
44100,0,31,0,0,2
44300,1,30,0,0,2
44500,1,28,0,1,2
44700,0,30,0,0,2
44900,0,30,0,0,2
45100,0,30,0,0,2
45300,0,30,0,0,2
45500,0,30,0,0,2
45700,0,30,0,0,2
45900,0,30,0,0,2
46100,0,28,2,0,2
46300,3,26,1,0,2
46500,0,26,0,1,2
46700,0,28,0,0,2
46900,0,28,0,0,2
47100,0,28,0,0,2
47300,0,28,0,0,2
47500,0,28,0,0,2
47700,0,28,0,0,2
47900,0,28,0,0,2
48100,0,26,0,2,2
48300,3,27,0,0,2
48500,0,27,0,0,2
48700,0,27,0,0,2
48900,0,27,0,0,2
49100,0,27,0,0,2
49300,0,27,0,0,2
49500,0,27,0,0,2
49700,0,27,0,0,2
49900,0,27,0,0,2
50100,0,26,0,1,2
50300,1,27,0,0,2
50500,0,27,0,0,2
50700,0,27,0,0,2
50900,0,27,0,0,2
51100,0,27,0,0,2
51300,0,27,0,0,2
51500,0,27,0,0,2
51700,0,27,0,0,2
51900,0,27,0,0,2
