idService,app,time,action
7,6,300,replicate
6,5,300,replicate
5,4,300,replicate
4,3,300,replicate
3,2,300,replicate
2,1,300,replicate
75,1,500,replicate
73,2,500,replicate
71,3,500,replicate
69,4,500,replicate
67,5,500,replicate
65,6,500,migrate
7,6,500,migrate
6,5,500,replicate
5,4,500,replicate
4,3,500,replicate
3,2,500,replicate
2,1,500,replicate
99,1,700,replicate
97,2,700,replicate
95,3,700,replicate
93,4,700,none
91,5,700,migrate
89,6,700,replicate
87,6,700,nop
85,5,700,nop
83,4,700,nop
81,3,700,replicate
79,2,700,nop
77,1,700,replicate
75,1,700,replicate
73,2,700,nop
71,3,700,nop
69,4,700,replicate
67,5,700,migrate
6,5,700,migrate
5,4,700,migrate
4,3,700,replicate
3,2,700,nop
2,1,700,nop
125,3,900,replicate
123,4,900,replicate
121,5,900,replicate
119,5,900,nop
117,4,900,nop
115,1,900,nop
113,1,900,nop
111,3,900,nop
109,6,900,nop
107,5,900,nop
105,3,900,nop
103,2,900,replicate
101,1,900,replicate
99,1,900,replicate
97,2,900,nop
95,3,900,replicate
93,4,900,none
89,6,900,migrate
87,6,900,nop
85,5,900,nop
83,4,900,nop
81,3,900,nop
79,2,900,nop
77,1,900,nop
75,1,900,nop
73,2,900,nop
71,3,900,nop
69,4,900,migrate
4,3,900,nop
3,2,900,nop
2,1,900,nop
143,4,1100,nop
141,6,1100,nop
139,3,1100,nop
137,1,1100,nop
135,1,1100,nop
133,2,1100,nop
131,5,1100,nop
129,4,1100,nop
127,3,1100,nop
125,3,1100,nop
123,4,1100,migrate
121,5,1100,migrate
119,5,1100,nop
117,4,1100,nop
115,1,1100,nop
113,1,1100,nop
111,3,1100,nop
109,6,1100,nop
107,5,1100,nop
105,3,1100,nop
103,2,1100,nop
101,1,1100,nop
99,1,1100,nop
97,2,1100,nop
95,3,1100,nop
93,4,1100,none
87,6,1100,nop
85,5,1100,nop
83,4,1100,nop
81,3,1100,nop
79,2,1100,nop
77,1,1100,nop
75,1,1100,nop
73,2,1100,nop
71,3,1100,nop
4,3,1100,nop
3,2,1100,nop
2,1,1100,nop
147,5,1300,nop
145,4,1300,nop
143,4,1300,nop
141,6,1300,nop
139,3,1300,nop
137,1,1300,nop
135,1,1300,nop
133,2,1300,nop
131,5,1300,nop
129,4,1300,nop
127,3,1300,nop
125,3,1300,nop
119,5,1300,nop
117,4,1300,nop
115,1,1300,nop
113,1,1300,nop
111,3,1300,nop
109,6,1300,nop
107,5,1300,nop
105,3,1300,nop
103,2,1300,nop
101,1,1300,nop
99,1,1300,nop
97,2,1300,nop
95,3,1300,nop
93,4,1300,none
