time,undeploy,nop,migrate,replicate,none
300,0,0,0,6,0
500,0,0,2,10,0
700,0,8,4,9,1
900,0,21,2,7,1
1100,0,35,2,0,1
1300,0,37,0,0,1
1500,0,37,0,0,1
1700,0,37,0,0,1
1900,0,37,0,0,1
2100,0,34,0,3,1
2300,2,36,2,0,1
2500,0,36,2,0,1
2700,0,36,2,0,1
2900,0,38,0,0,1
3100,0,38,0,0,1
3300,0,38,0,0,1
3500,0,38,0,0,1
3700,0,38,0,0,1
3900,0,38,0,0,1
4100,0,37,0,1,1
4300,1,37,1,0,1
4500,0,38,0,0,1
4700,0,38,0,0,1
4900,0,38,0,0,1
5100,0,38,0,0,1
5300,0,38,0,0,1
5500,0,38,0,0,1
5700,0,38,0,0,1
5900,0,38,0,0,1
6100,0,36,0,2,1
6300,2,36,1,0,2
6500,0,37,0,0,2
6700,0,37,0,0,2
6900,0,37,0,0,2
7100,0,37,0,0,2
7300,0,37,0,0,2
7500,0,37,0,0,2
7700,0,37,0,0,2
7900,0,37,0,0,2
8100,0,35,1,1,2
8300,2,36,0,0,2
8500,0,36,0,0,2
8700,0,36,0,0,2
8900,0,36,0,0,2
9100,0,36,0,0,2
9300,0,36,0,0,2
9500,0,36,0,0,2
9700,0,36,0,0,2
9900,0,36,0,0,2
10100,0,34,1,1,2
10300,2,33,1,1,2
10500,0,35,1,0,2
10700,0,35,1,0,2
10900,0,36,0,0,2
11100,0,36,0,0,2
11300,0,36,0,0,2
11500,0,36,0,0,2
11700,0,36,0,0,2
11900,0,36,0,0,2
12100,0,35,0,1,2
12300,1,35,1,0,2
12500,0,36,0,0,2
12700,0,36,0,0,2
12900,0,36,0,0,2
13100,0,36,0,0,2
13300,0,36,0,0,2
13500,0,36,0,0,2
13700,0,36,0,0,2
13900,0,36,0,0,2
14100,0,33,0,3,2
14300,1,36,2,0,2
14500,0,37,1,0,2
14700,0,37,1,0,2
14900,0,38,0,0,2
15100,0,38,0,0,2
15300,0,38,0,0,2
15500,0,38,0,0,2
15700,0,38,0,0,2
15900,0,38,0,0,2
16100,0,35,2,0,3
16300,3,32,1,1,3
16500,0,34,0,0,4
16700,0,34,0,0,4
16900,0,34,0,0,4
17100,0,34,0,0,4
17300,0,34,0,0,4
17500,0,34,0,0,4
17700,0,34,0,0,4
17900,0,34,0,0,4
18100,0,33,0,1,4
18300,0,34,1,0,4
18500,0,34,1,0,4
18700,0,34,1,0,4
18900,0,35,0,0,4
19100,0,35,0,0,4
19300,0,35,0,0,4
19500,0,35,0,0,4
19700,0,35,0,0,4
19900,0,35,0,0,4
20100,0,34,0,1,4
20300,2,34,0,0,4
20500,0,34,0,0,4
20700,0,34,0,0,4
20900,0,34,0,0,4
21100,0,34,0,0,4
21300,0,34,0,0,4
21500,0,34,0,0,4
21700,0,34,0,0,4
21900,0,34,0,0,4
22100,0,34,0,0,4
22300,1,33,0,0,4
22500,0,33,0,0,4
22700,0,33,0,0,4
22900,0,33,0,0,4
23100,0,33,0,0,4
23300,0,33,0,0,4
23500,0,33,0,0,4
23700,0,33,0,0,4
23900,0,33,0,0,4
24100,0,32,1,0,4
24300,1,31,0,1,4
24500,0,33,0,0,4
24700,0,33,0,0,4
24900,0,33,0,0,4
25100,0,33,0,0,4
25300,0,33,0,0,4
25500,0,33,0,0,4
25700,0,33,0,0,4
25900,0,33,0,0,4
26100,0,32,0,1,4
26300,1,33,0,0,4
