time,undeploy,nop,migrate,replicate,none
26500,0,33,0,0,4
26700,0,33,0,0,4
26900,0,33,0,0,4
27100,0,33,0,0,4
27300,0,33,0,0,4
27500,0,33,0,0,4
27700,0,33,0,0,4
27900,0,33,0,0,4
28100,0,33,0,0,4
28300,0,33,0,0,4
28500,0,33,0,0,4
28700,0,33,0,0,4
28900,0,33,0,0,4
29100,0,33,0,0,4
29300,0,33,0,0,4
29500,0,33,0,0,4
29700,0,33,0,0,4
29900,0,33,0,0,4
30100,0,32,0,1,4
30300,0,33,1,0,4
30500,0,34,0,0,4
30700,0,34,0,0,4
30900,0,34,0,0,4
31100,0,34,0,0,4
31300,0,34,0,0,4
31500,0,34,0,0,4
31700,0,34,0,0,4
31900,0,34,0,0,4
32100,0,34,0,0,4
32300,0,34,0,0,4
32500,0,34,0,0,4
32700,0,34,0,0,4
32900,0,34,0,0,4
33100,0,34,0,0,4
33300,0,34,0,0,4
33500,0,34,0,0,4
33700,0,34,0,0,4
33900,0,34,0,0,4
34100,0,34,0,0,4
34300,1,33,0,0,4
34500,0,33,0,0,4
34700,0,33,0,0,4
34900,0,33,0,0,4
35100,0,33,0,0,4
35300,0,33,0,0,4
35500,0,33,0,0,4
35700,0,33,0,0,4
35900,0,33,0,0,4
36100,0,31,0,3,3
36300,2,35,0,0,3
36500,0,35,0,0,3
36700,0,35,0,0,3
36900,0,35,0,0,3
37100,0,35,0,0,3
37300,0,35,0,0,3
37500,0,35,0,0,3
37700,0,35,0,0,3
37900,0,35,0,0,3
38100,0,34,0,1,3
38300,1,34,1,1,2
38500,0,36,1,0,2
38700,0,36,1,0,2
38900,0,37,0,0,2
39100,0,36,1,0,2
39300,0,37,0,0,2
39500,0,36,1,0,2
39700,0,37,0,0,2
39900,0,36,1,0,2
40100,0,37,0,0,2
40300,0,37,0,0,2
40500,0,37,0,0,2
40700,0,37,0,0,2
40900,0,37,0,0,2
41100,0,37,0,0,2
41300,0,37,0,0,2
41500,0,37,0,0,2
41700,0,37,0,0,2
41900,0,37,0,0,2
42100,0,37,0,0,2
42300,0,36,1,0,2
42500,0,37,0,0,2
42700,0,37,0,0,2
42900,0,37,0,0,2
43100,0,37,0,0,2
43300,0,37,0,0,2
43500,0,37,0,0,2
43700,0,37,0,0,2
43900,0,37,0,0,2
44100,0,36,0,0,3
44300,1,35,0,0,3
44500,0,35,0,0,3
44700,0,35,0,0,3
44900,0,35,0,0,3
45100,0,35,0,0,3
45300,0,35,0,0,3
45500,0,35,0,0,3
45700,0,35,0,0,3
45900,0,35,0,0,3
46100,0,32,1,2,3
46300,5,29,2,1,3
46500,0,33,0,0,3
46700,0,33,0,0,3
46900,0,33,0,0,3
47100,0,33,0,0,3
47300,0,33,0,0,3
47500,0,33,0,0,3
47700,0,33,0,0,3
47900,0,33,0,0,3
48100,0,30,0,3,3
48300,4,31,1,0,3
48500,0,32,0,0,3
48700,0,32,0,0,3
48900,0,32,0,0,3
49100,0,32,0,0,3
49300,0,32,0,0,3
49500,0,32,0,0,3
49700,0,32,0,0,3
49900,0,32,0,0,3
50100,0,30,1,1,3
50300,1,30,1,1,3
50500,0,33,0,0,3
50700,0,33,0,0,3
50900,0,33,0,0,3
51100,0,33,0,0,3
51300,0,33,0,0,3
51500,0,33,0,0,3
51700,0,33,0,0,3
51900,0,33,0,0,3
