idService,app,time,action
7,6,300,replicate
6,5,300,replicate
5,4,300,replicate
4,3,300,nop
3,2,300,nop
2,1,300,nop
69,4,500,replicate
67,5,500,replicate
65,6,500,migrate
7,6,500,migrate
6,5,500,replicate
5,4,500,replicate
4,3,500,nop
3,2,500,nop
2,1,500,nop
81,4,700,replicate
79,5,700,migrate
77,6,700,replicate
75,6,700,nop
73,5,700,nop
71,4,700,nop
69,4,700,replicate
67,5,700,migrate
6,5,700,migrate
5,4,700,migrate
4,3,700,nop
3,2,700,nop
2,1,700,nop
95,4,900,replicate
93,5,900,replicate
91,5,900,nop
89,4,900,nop
87,6,900,nop
85,5,900,nop
83,4,900,nop
81,4,900,replicate
77,6,900,migrate
75,6,900,nop
73,5,900,nop
71,4,900,nop
69,4,900,migrate
4,3,900,nop
3,2,900,nop
2,1,900,nop
105,4,1100,nop
103,6,1100,nop
101,4,1100,nop
99,5,1100,nop
97,4,1100,nop
95,4,1100,migrate
93,5,1100,migrate
91,5,1100,nop
89,4,1100,nop
87,6,1100,nop
85,5,1100,nop
83,4,1100,nop
81,4,1100,migrate
75,6,1100,nop
73,5,1100,nop
71,4,1100,nop
4,3,1100,nop
3,2,1100,nop
2,1,1100,nop
111,4,1300,nop
109,5,1300,nop
107,4,1300,nop
105,4,1300,nop
103,6,1300,nop
101,4,1300,nop
99,5,1300,nop
97,4,1300,nop
91,5,1300,nop
89,4,1300,nop
87,6,1300,nop
85,5,1300,nop
83,4,1300,nop
75,6,1300,nop
73,5,1300,nop
71,4,1300,nop
4,3,1300,nop
3,2,1300,nop
2,1,1300,nop
111,4,1500,nop
109,5,1500,nop
107,4,1500,nop
105,4,1500,nop
103,6,1500,nop
101,4,1500,nop
99,5,1500,nop
97,4,1500,nop
91,5,1500,nop
89,4,1500,nop
87,6,1500,nop
85,5,1500,nop
83,4,1500,nop
75,6,1500,nop
73,5,1500,nop
71,4,1500,nop
4,3,1500,nop
3,2,1500,nop
2,1,1500,nop
111,4,1700,nop
109,5,1700,nop
107,4,1700,nop
105,4,1700,nop
103,6,1700,nop
101,4,1700,nop
99,5,1700,nop
97,4,1700,nop
91,5,1700,nop
89,4,1700,nop
87,6,1700,nop
85,5,1700,nop
83,4,1700,nop
75,6,1700,nop
73,5,1700,nop
71,4,1700,nop
4,3,1700,nop
3,2,1700,nop
2,1,1700,nop
111,4,1900,nop
109,5,1900,nop
107,4,1900,nop
105,4,1900,nop
103,6,1900,nop
101,4,1900,nop
99,5,1900,nop
97,4,1900,nop
91,5,1900,nop
89,4,1900,nop
87,6,1900,nop
85,5,1900,nop
83,4,1900,nop
75,6,1900,nop
