time,app,des,tr,ltr,suc
300,5,6,84,40,2.100000
300,3,4,75,5,15.000000
300,6,7,34,40,0.850000
300,1,2,48,5,9.600000
300,4,5,51,40,1.275000
300,2,3,31,5,6.200000
500,5,6,37,40,0.925000
500,3,4,62,5,12.400000
500,4,69,15,40,0.375000
500,4,5,23,40,0.575000
500,6,7,11,40,0.275000
500,2,3,26,5,5.200000
500,1,2,38,5,7.600000
500,5,67,46,40,1.150000
500,6,65,21,40,0.525000
700,6,77,10,40,0.250000
700,5,67,10,40,0.250000
700,3,4,62,5,12.400000
700,4,5,11,40,0.275000
700,5,73,40,40,1.000000
700,4,71,5,40,0.125000
700,6,75,25,40,0.625000
700,5,79,20,40,0.500000
700,5,6,15,40,0.375000
700,1,2,50,5,10.000000
700,2,3,34,5,6.800000
700,4,81,20,40,0.500000
700,4,69,10,40,0.250000
900,3,4,65,5,13.000000
900,4,69,5,40,0.125000
900,4,95,10,40,0.250000
900,5,73,40,40,1.000000
900,5,93,15,40,0.375000
900,6,77,5,40,0.125000
900,6,75,25,40,0.625000
900,5,91,10,40,0.250000
900,4,71,5,40,0.125000
900,4,89,5,40,0.125000
900,6,87,5,40,0.125000
900,1,2,59,5,11.800000
900,4,83,10,40,0.250000
900,4,81,10,40,0.250000
900,2,3,41,5,8.200000
900,5,85,20,40,0.500000
1100,5,85,20,40,0.500000
1100,4,95,5,40,0.125000
1100,3,4,61,5,12.200000
1100,2,3,29,5,5.800000
1100,1,2,46,5,9.200000
1100,5,99,10,40,0.250000
1100,6,103,5,40,0.125000
1100,4,81,5,40,0.125000
1100,4,83,10,40,0.250000
1100,4,101,5,40,0.125000
1100,5,93,5,40,0.125000
1100,4,105,5,40,0.125000
1100,5,91,10,40,0.250000
1100,6,87,5,40,0.125000
1100,6,75,25,40,0.625000
1100,4,89,5,40,0.125000
1100,5,73,40,40,1.000000
1100,4,97,5,40,0.125000
1100,4,71,5,40,0.125000
1300,5,99,10,40,0.250000
1300,4,83,10,40,0.250000
1300,2,3,30,5,6.000000
1300,6,87,5,40,0.125000
1300,4,71,5,40,0.125000
1300,4,97,5,40,0.125000
1300,6,75,25,40,0.625000
1300,6,103,5,40,0.125000
1300,5,85,20,40,0.500000
1300,3,4,60,5,12.000000
1300,1,2,46,5,9.200000
1300,5,109,5,40,0.125000
1300,5,73,40,40,1.000000
1300,4,89,5,40,0.125000
1300,4,101,5,40,0.125000
1300,4,111,5,40,0.125000
1300,4,105,5,40,0.125000
1300,5,91,10,40,0.250000
