time,app,des,tr,ltr,suc
300,5,6,84,40,2.100000
300,3,4,75,5,15.000000
300,6,7,34,40,0.850000
300,1,2,48,5,9.600000
300,4,5,51,40,1.275000
300,2,3,31,5,6.200000
500,5,6,40,40,1.000000
500,3,4,30,5,6.000000
500,4,69,15,40,0.375000
500,4,5,23,40,0.575000
500,1,75,20,5,4.000000
500,6,7,11,40,0.275000
500,2,3,16,5,3.200000
500,2,73,10,5,2.000000
500,1,2,17,5,3.400000
500,5,67,46,40,1.150000
500,6,65,21,40,0.525000
500,3,71,30,5,6.000000
700,3,71,5,5,1.000000
700,4,93,20,40,0.500000
700,3,81,25,5,5.000000
700,5,67,10,40,0.250000
700,3,4,19,5,3.800000
700,2,79,5,5,1.000000
700,4,5,11,40,0.275000
700,6,87,25,40,0.625000
700,1,99,20,5,4.000000
700,5,91,20,40,0.500000
700,6,89,10,40,0.250000
700,3,95,15,5,3.000000
700,4,83,5,40,0.125000
700,5,85,40,40,1.000000
700,2,97,15,5,3.000000
700,5,6,15,40,0.375000
700,1,2,5,5,1.000000
700,2,3,5,5,1.000000
700,1,75,10,5,2.000000
700,1,77,10,5,2.000000
700,2,73,5,5,1.000000
700,4,69,10,40,0.250000
900,1,101,10,5,2.000000
900,2,79,5,5,1.000000
900,3,4,5,5,1.000000
900,2,103,10,5,2.000000
900,3,111,20,5,4.000000
900,4,117,5,40,0.125000
900,4,69,5,40,0.125000
900,4,123,10,40,0.250000
900,6,89,5,40,0.125000
900,1,75,5,5,1.000000
900,3,95,10,5,2.000000
900,5,121,15,40,0.375000
900,3,71,5,5,1.000000
900,1,113,5,5,1.000000
900,3,125,10,5,2.000000
900,2,97,5,5,1.000000
900,4,93,20,40,0.500000
900,2,73,5,5,1.000000
900,1,77,5,5,1.000000
900,5,85,40,40,1.000000
900,3,105,5,5,1.000000
900,6,87,25,40,0.625000
900,3,81,5,5,1.000000
900,6,109,5,40,0.125000
900,1,99,10,5,2.000000
900,1,115,5,5,1.000000
900,5,107,20,40,0.500000
900,1,2,5,5,1.000000
900,5,119,10,40,0.250000
900,2,3,5,5,1.000000
900,4,83,5,40,0.125000
1100,5,107,20,40,0.500000
1100,1,75,5,5,1.000000
1100,1,135,5,5,1.000000
1100,1,115,5,5,1.000000
1100,3,4,5,5,1.000000
1100,3,71,5,5,1.000000
1100,4,93,16,40,0.400000
1100,3,125,5,5,1.000000
1100,2,133,5,5,1.000000
1100,2,3,5,5,1.000000
1100,1,113,5,5,1.000000
1100,3,95,5,5,1.000000
