time,undeploy,nop,migrate,replicate,none
26500,0,39,0,0,1
26700,0,39,0,0,1
26900,0,38,0,0,2
27100,0,38,0,0,2
27300,0,40,0,0,0
27500,0,39,0,0,1
27700,0,39,0,0,1
27900,0,38,0,0,2
28100,0,38,0,0,2
28300,0,40,0,0,0
28500,0,39,0,0,1
28700,0,39,0,0,1
28900,0,38,0,0,2
29100,0,38,0,0,2
29300,0,40,0,0,0
29500,0,39,0,0,1
29700,0,39,0,0,1
29900,0,38,0,0,2
30100,0,37,0,1,2
30300,1,39,1,0,0
30500,0,39,0,0,1
30700,0,39,0,0,1
30900,0,38,0,0,2
31100,0,38,0,0,2
31300,0,40,0,0,0
31500,0,39,0,0,1
31700,0,39,0,0,1
31900,0,38,0,0,2
32100,0,38,0,0,2
32300,0,40,0,0,0
32500,0,39,0,0,1
32700,0,39,0,0,1
32900,0,38,0,0,2
33100,0,38,0,0,2
33300,0,40,0,0,0
33500,0,39,0,0,1
33700,0,39,0,0,1
33900,0,38,0,0,2
34100,0,38,0,0,2
34300,1,39,0,0,0
34500,0,38,0,0,1
34700,0,38,0,0,1
34900,0,37,0,0,2
35100,0,37,0,0,2
35300,0,39,0,0,0
35500,0,38,0,0,1
35700,0,38,0,0,1
35900,0,37,0,0,2
36100,0,35,0,2,2
36300,2,39,0,0,0
36500,0,38,0,0,1
36700,0,39,0,0,0
36900,0,37,0,0,2
37100,0,37,0,0,2
37300,0,39,0,0,0
37500,0,38,0,0,1
37700,0,39,0,0,0
37900,0,37,0,0,2
38100,0,36,0,1,2
38300,1,38,1,0,0
38500,0,38,0,1,0
38700,0,38,1,0,1
38900,0,38,0,0,2
39100,0,37,1,0,2
39300,0,40,0,0,0
39500,0,39,1,0,0
39700,0,40,0,0,0
39900,0,37,0,0,3
40100,0,38,0,0,2
40300,0,40,0,0,0
40500,0,40,0,0,0
40700,0,40,0,0,0
40900,0,37,0,0,3
41100,0,38,0,0,2
41300,0,40,0,0,0
41500,0,40,0,0,0
41700,0,40,0,0,0
41900,0,37,0,0,3
42100,0,36,0,2,2
42300,1,41,0,0,0
42500,0,41,0,0,0
42700,0,41,0,0,0
42900,0,39,0,0,2
43100,0,39,0,0,2
43300,0,41,0,0,0
43500,0,41,0,0,0
43700,0,41,0,0,0
43900,0,39,0,0,2
44100,0,38,0,0,3
44300,1,39,0,0,1
44500,0,39,0,0,1
44700,0,40,0,0,0
44900,0,38,0,0,2
45100,0,38,0,0,2
45300,0,40,0,0,0
45500,0,39,0,0,1
45700,0,39,0,0,1
45900,0,38,0,0,2
46100,0,35,0,3,2
46300,5,35,2,1,0
46500,0,38,0,0,1
46700,0,38,0,0,1
46900,0,37,0,0,2
47100,0,37,0,0,2
47300,0,39,0,0,0
47500,0,38,0,0,1
47700,0,38,0,0,1
47900,0,37,0,0,2
48100,0,34,0,3,2
48300,4,37,1,0,0
48500,0,37,0,0,1
48700,0,37,0,0,1
48900,0,36,0,0,2
49100,0,36,0,0,2
49300,0,38,0,0,0
49500,0,37,0,0,1
49700,0,37,0,0,1
49900,0,36,0,0,2
50100,0,34,1,1,2
50300,1,36,1,1,0
50500,0,38,0,0,1
50700,0,38,0,0,1
50900,0,37,0,0,2
51100,0,37,0,0,2
51300,0,39,0,0,0
51500,0,38,0,0,1
51700,0,38,0,0,1
51900,0,37,0,0,2
