time,undeploy,nop,migrate,replicate,none
300,0,0,0,6,0
500,0,0,2,10,0
700,0,8,4,9,1
900,0,21,2,8,0
1100,0,36,2,1,0
1300,0,39,0,0,1
1500,0,40,0,0,0
1700,0,40,0,0,0
1900,0,39,0,0,1
2100,0,36,0,3,1
2300,2,39,2,0,0
2500,0,39,2,0,0
2700,0,39,2,0,0
2900,0,40,0,0,1
3100,0,40,0,0,1
3300,0,41,0,0,0
3500,0,41,0,0,0
3700,0,41,0,0,0
3900,0,40,0,0,1
4100,0,39,0,1,1
4300,1,40,1,0,0
4500,0,41,0,0,0
4700,0,41,0,0,0
4900,0,40,0,0,1
5100,0,40,0,0,1
5300,0,41,0,0,0
5500,0,41,0,0,0
5700,0,41,0,0,0
5900,0,40,0,0,1
6100,0,38,0,2,1
6300,2,39,1,0,1
6500,0,40,0,0,1
6700,0,41,0,0,0
6900,0,40,0,0,1
7100,0,39,0,0,2
7300,0,40,0,0,1
7500,0,41,0,0,0
7700,0,41,0,0,0
7900,0,40,0,0,1
8100,0,37,1,1,2
8300,2,39,0,0,1
8500,0,39,0,0,1
8700,0,40,0,0,0
8900,0,39,0,0,1
9100,0,39,0,0,1
9300,0,40,0,0,0
9500,0,39,0,0,1
9700,0,39,0,0,1
9900,0,39,0,0,1
10100,0,37,1,1,1
10300,2,37,1,1,0
10500,0,38,1,0,1
10700,0,38,1,0,1
10900,0,39,0,0,1
11100,0,39,0,0,1
11300,0,40,0,0,0
11500,0,39,0,0,1
11700,0,39,0,0,1
11900,0,39,0,0,1
12100,0,38,0,1,1
12300,1,39,1,0,0
12500,0,39,0,0,1
12700,0,39,0,0,1
12900,0,39,0,0,1
13100,0,39,0,0,1
13300,0,40,0,0,0
13500,0,39,0,0,1
13700,0,39,0,0,1
13900,0,39,0,0,1
14100,0,36,0,3,1
14300,1,40,2,0,0
14500,0,40,1,0,1
14700,0,40,1,0,1
14900,0,41,0,0,1
15100,0,41,0,0,1
15300,0,42,0,0,0
15500,0,41,0,0,1
15700,0,41,0,0,1
15900,0,41,0,0,1
16100,0,38,2,0,2
16300,3,37,1,1,0
16500,0,38,0,0,2
16700,0,39,0,0,1
16900,0,38,0,0,2
17100,0,39,0,0,1
17300,0,40,0,0,0
17500,0,39,0,0,1
17700,0,38,0,0,2
17900,0,38,0,0,2
18100,0,38,0,1,1
18300,0,40,1,0,0
18500,0,39,1,0,1
18700,0,38,1,0,2
18900,0,39,0,0,2
19100,0,40,0,0,1
19300,0,41,0,0,0
19500,0,40,0,0,1
19700,0,39,0,0,2
19900,0,39,0,0,2
20100,0,39,0,1,1
20300,2,40,0,0,0
20500,0,39,0,0,1
20700,0,38,0,0,2
20900,0,38,0,0,2
21100,0,39,0,0,1
21300,0,40,0,0,0
21500,0,39,0,0,1
21700,0,38,0,0,2
21900,0,38,0,0,2
22100,0,39,0,0,1
22300,1,39,0,0,0
22500,0,38,0,0,1
22700,0,38,0,0,1
22900,0,37,0,0,2
23100,0,38,0,0,1
23300,0,39,0,0,0
23500,0,38,0,0,1
23700,0,38,0,0,1
23900,0,37,0,0,2
24100,0,37,1,0,1
24300,1,36,0,1,1
24500,0,38,0,0,1
24700,0,38,0,0,1
24900,0,37,0,0,2
25100,0,37,0,0,2
25300,0,39,0,0,0
25500,0,38,0,0,1
25700,0,38,0,0,1
25900,0,37,0,0,2
26100,0,35,0,2,2
26300,1,40,0,0,0
