,CodeRoute,Latitude,Longitude,Altitude,Date,Speed,TimeDifference,Distance,FileName,CumTimeDiff,VideoFrame
3157,taxi_365,41.881007562017665,12.514719810548554,0.0,"1797   2014-02-01 00:10:36+00:00
Name: Date, dtype: datetime64[ns, UTC]",7.101939595985706,8,59.65629260627993,,626,75
3158,taxi_365,41.88088467437179,12.5150407448126,0.0,2014-02-01 00:10:41+00:00,7.101939595985706,21,149.14073151569983,,631,76
3159,taxi_365,41.8799447906186,12.5161485968923,0.0,2014-02-01 00:10:51+00:00,13.920511984984108,10,139.20511984984108,,641,77
3160,taxi_365,41.87933596548074,12.516889436546077,0.0,"1799   2014-02-01 00:10:59+00:00
Name: Date, dtype: datetime64[ns, UTC]",10.881261086304525,8,91.40259312495802,,649,78
3161,taxi_365,41.8784984565378,12.5179151256453,0.0,2014-02-01 00:11:11+00:00,10.881261086304525,20,217.6252217260905,,661,79
3162,taxi_365,41.8771834242773,12.5196450315446,0.0,2014-02-01 00:11:20+00:00,22.76799272582444,9,204.91193453241993,,670,80
3163,taxi_365,41.876686138705736,12.520310838850387,0.0,"1801   2014-02-01 00:11:28+00:00
Name: Date, dtype: datetime64[ns, UTC]",9.302053724273941,8,78.13725128390111,,678,81
3164,taxi_365,41.8761888492311,12.520976635833367,0.0,"1801   2014-02-01 00:11:36+00:00
Name: Date, dtype: datetime64[ns, UTC]",9.302053724273941,8,78.13725128390111,,686,82
3165,taxi_365,41.8760020651725,12.5212326470749,0.0,2014-02-01 00:11:40+00:00,9.302053724273941,20,186.04107448547882,,690,83
3166,taxi_365,41.876524226662504,12.522187119851699,0.0,2014-02-01 00:11:50+00:00,9.817139144424097,10,98.17139144424097,,700,84
3167,taxi_365,41.87692800643592,12.522652602207756,0.0,"1803   2014-02-01 00:11:58+00:00
Name: Date, dtype: datetime64[ns, UTC]",7.047379702246916,8,59.197989498874094,,708,85
3168,taxi_365,41.8774834654142,12.5232970727745,0.0,2014-02-01 00:12:10+00:00,7.047379702246916,20,140.9475940449383,,720,86
3169,taxi_365,41.877885187846104,12.5238223387508,0.0,2014-02-01 00:12:20+00:00,6.241219317554075,10,62.41219317554074,,730,87
