taxi id,date time,latitude,longitude
156,2014-02-01 00:00:01,41.8836718276551,12.4877775603346
187,2014-02-01 00:00:00,41.9285433333333,12.4690366666667
297,2014-02-01 00:00:00,41.8910686119733,12.4927045625339
89,2014-02-01 00:00:00,41.7931766914244,12.4321219603157
79,2014-02-01 00:00:01,41.90027472,12.46274618
191,2014-02-01 00:00:00,41.8523047579646,12.5774065771898
343,2014-02-01 00:00:01,41.8921718255185,12.4696996165151
341,2014-02-01 00:00:01,41.9102125627332,12.4770004336041
260,2014-02-01 00:00:00,41.8658208551143,12.4655221109313
59,2014-02-01 00:00:01,41.8967831636848,12.4821987021152
122,2014-02-01 00:00:00,41.9230874882779,12.502203541278
311,2014-02-01 00:00:00,41.9068137897371,12.4902083997946
351,2014-02-01 00:00:00,41.9100508227258,12.4966092132391
58,2014-02-01 00:00:00,41.9175592169096,12.5132735176741
196,2014-02-01 00:00:00,41.8922298239912,12.469779213474
105,2014-02-01 00:00:00,41.8971435606299,12.4729530904655
331,2014-02-01 00:00:00,41.9055040692911,12.4450642615557
362,2014-02-01 00:00:01,41.9101993407516,12.4770016466739
188,2014-02-01 00:00:01,41.9219318791848,12.4907898873581
172,2014-02-01 00:00:00,41.9198850823211,12.5027184760708
352,2014-02-01 00:00:00,41.8978325324133,12.4693947471678
188,2014-02-01 00:00:00,41.9226663915447,12.4871261442344
361,2014-02-01 00:00:00,41.9224726036191,12.487366637215
321,2014-02-01 00:00:01,41.89724661,12.47285113
318,2014-02-01 00:00:01,41.8832317105311,12.4692101233239
188,2014-02-01 00:00:01,41.9219318791848,12.4907898873581
317,2014-02-01 00:00:00,41.9004122222972,12.4728368659278
368,2014-02-01 00:00:01,41.8904533333333,12.4741966666667
295,2014-02-01 00:00:00,41.8957895596184,12.4719204209153
197,2014-02-01 00:00:00,41.884861232788,12.470642809741
298,2014-02-01 00:00:01,41.8937974842265,12.4703800398856
232,2014-02-01 00:00:01,41.9038292750994,12.4844517125394
315,2014-02-01 00:00:10,41.900065357512,12.4572887201218
2,2014-02-01 00:00:10,41.9081300994706,12.5043668987191
135,2014-02-01 00:00:10,41.9331899516031,12.5117847048568
248,2014-02-01 00:00:11,41.8959019919821,12.4768818873779
132,2014-02-01 00:00:11,41.8552883890016,12.4771413579851
104,2014-02-01 00:00:11,41.7915396179775,12.2502862040602
234,2014-02-01 00:00:10,41.897783275213,12.4693312066563
357,2014-02-01 00:00:10,41.8345933772036,12.4716641521793
281,2014-02-01 00:00:11,41.8959076848405,12.4827594572545
341,2014-02-01 00:00:10,41.9109088398783,12.4772815796834
53,2014-02-01 00:00:10,41.8912020048345,12.5025479627347
257,2014-02-01 00:00:10,41.9246361238323,12.4862287031811
37,2014-02-01 00:00:11,41.8978418925033,12.4684204086267
224,2014-02-01 00:00:11,41.96531436,12.45640665
178,2014-02-01 00:00:11,41.921767916889,12.4850695093216
174,2014-02-01 00:00:10,41.8898128219691,12.4745070406691
61,2014-02-01 00:00:10,41.9003116666667,12.4727383333333
291,2014-02-01 00:00:10,41.857382669784,12.491181180781
365,2014-02-01 00:00:10,41.8938279471136,12.4758196948506
94,2014-02-01 00:00:11,41.9286143581594,12.4773909315309
228,2014-02-01 00:00:11,41.8972219549272,12.4727742184704
89,2014-02-01 00:00:10,41.7950459730928,12.4349096543292
79,2014-02-01 00:00:10,41.90028989,12.462724
187,2014-02-01 00:00:10,41.9267616666667,12.4697633333333
297,2014-02-01 00:00:10,41.8912969309336,12.4909423655086
156,2014-02-01 00:00:10,41.8836033504296,12.4884353827295
191,2014-02-01 00:00:10,41.8526620389391,12.5778460793785
260,2014-02-01 00:00:10,41.8650747304238,12.4650680095904
343,2014-02-01 00:00:10,41.8921911088577,12.4697191103714
59,2014-02-01 00:00:10,41.8981761491255,12.4815512391248
351,2014-02-01 00:00:10,41.9100508227258,12.4966092132391
122,2014-02-01 00:00:11,41.9218261089452,12.5009061654808
311,2014-02-01 00:00:11,41.9068137897371,12.4902083997946
259,2014-02-01 00:00:11,41.84065284169,12.5919930213649
58,2014-02-01 00:00:20,41.9174146914442,12.513083602414
196,2014-02-01 00:00:20,41.8922298239912,12.469779213474
362,2014-02-01 00:00:21,41.9101993407516,12.4770016466739
105,2014-02-01 00:00:20,41.8971435606299,12.4729530904655
172,2014-02-01 00:00:20,41.9197355164216,12.5026134891681
188,2014-02-01 00:00:20,41.9226663915447,12.4871261442344
352,2014-02-01 00:00:21,41.8978325324133,12.4693947471678
318,2014-02-01 00:00:20,41.8840619264952,12.4698873272465
259,2014-02-01 00:00:21,41.8446062529282,12.5941577570106
259,2014-02-01 00:00:21,41.8446062529282,12.5941577570106
331,2014-02-01 00:00:21,41.9068366242573,12.4465227965266
317,2014-02-01 00:00:20,41.9004122222972,12.4728368659278
295,2014-02-01 00:00:20,41.8957895596184,12.4719204209153
368,2014-02-01 00:00:21,41.8914033333333,12.4746266666667
321,2014-02-01 00:00:20,41.89724633,12.47285075
197,2014-02-01 00:00:20,41.884861232788,12.470642809741
259,2014-02-01 00:00:20,41.8453117623572,12.5945532574323
298,2014-02-01 00:00:21,41.8929914804175,12.4712211638689
135,2014-02-01 00:00:21,41.9331899516031,12.5117847048568
315,2014-02-01 00:00:20,41.8996410432057,12.4618550005358
104,2014-02-01 00:00:21,41.7904902001173,12.2506423858324
132,2014-02-01 00:00:21,41.8568358908155,12.4773773385372
232,2014-02-01 00:00:21,41.9042511737689,12.4839190072599
2,2014-02-01 00:00:21,41.9086630527271,12.5066009228874
